"","V1","V2","V3"
"811.75",811.75,0,0
"811.7778",811.7778,0,0
"811.8056",811.8056,0,0
"811.8333",811.8333,0,0
"811.8611",811.8611,0,0
"811.8889",811.8889,0,0
"811.9167",811.9167,0,0
"811.9444",811.9444,0,0
"811.9722",811.9722,0,0
"812",812,0,0
"812.0278",812.0278,0,0
"812.0556",812.0556,0,0
"812.0833",812.0833,0,0
"812.1111",812.1111,0,0
"812.1389",812.1389,0,0
"812.1667",812.1667,0,0
"812.1944",812.1944,0,0
"812.2222",812.2222,0,0
"812.25",812.25,0,0
"812.2778",812.2778,0,0
"812.3056",812.3056,0,0
"812.3333",812.3333,0,0
"812.3611",812.3611,0,0
"812.3889",812.3889,0,0
"812.4167",812.4167,0,0
"812.4444",812.4444,0,0
"812.4722",812.4722,0,0
"812.5",812.5,0,0
"812.5278",812.5278,0,0
"812.5556",812.5556,0,0
"812.5833",812.5833,0,0
"812.6111",812.6111,0,0
"812.6389",812.6389,0,0
"812.6667",812.6667,0,0
"812.6944",812.6944,0,0
"812.7222",812.7222,0,0
"812.75",812.75,0,0
"812.7778",812.7778,0,0
"812.8056",812.8056,0,0
"812.8333",812.8333,0,0
"812.8611",812.8611,0,0
"812.8889",812.8889,0,0
"812.9167",812.9167,0,0
"812.9444",812.9444,0,0
"812.9722",812.9722,0,0
"813",813,0,0
"813.0278",813.0278,0,0
"813.0556",813.0556,0,0
"813.0833",813.0833,0,0
"813.1111",813.1111,0,0
"813.1389",813.1389,0,0
"813.1667",813.1667,0,0
"813.1944",813.1944,0,0
"813.2222",813.2222,0,0
"813.25",813.25,0,0
"813.2778",813.2778,0,0
"813.3056",813.3056,0,0
"813.3333",813.3333,0,0
"813.3611",813.3611,0,0
"813.3889",813.3889,0,0
"813.4167",813.4167,0,0
"813.4444",813.4444,0,0
"813.4722",813.4722,0,0
"813.5",813.5,0,0
"813.5278",813.5278,0,0
"813.5556",813.5556,0,0
"813.5833",813.5833,0,0
"813.6111",813.6111,0,0
"813.6389",813.6389,0,0
"813.6667",813.6667,0,0
"813.6944",813.6944,0,0
"813.7222",813.7222,0,0
"813.75",813.75,0,0
"813.7778",813.7778,0,0
"813.8056",813.8056,0,0
"813.8333",813.8333,0,0
"813.8611",813.8611,0,0
"813.8889",813.8889,0,0
"813.9167",813.9167,0,0
"813.9444",813.9444,0,0
"813.9722",813.9722,0,0
"814",814,0.00275,-0.0495
"814.0278",814.0278,0.008925,-0.16065
"814.0556",814.0556,0.015125,-0.27225
"814.0833",814.0833,0.0213,-0.3834
"814.1111",814.1111,0.0275,-0.495
"814.1389",814.1389,0.033675,-0.60615
"814.1667",814.1667,0.03985,-0.7173
"814.1944",814.1944,0.04605,-0.8289
"814.2222",814.2222,0.0539,-0.9702
"814.25",814.25,0.059475,-1.07055
"814.2778",814.2778,0.0619,-1.1142
"814.3056",814.3056,0.0619,-1.1142
"814.3333",814.3333,0.0619,-1.1142
"814.3611",814.3611,0.0619,-1.1142
"814.3889",814.3889,0.0619,-1.1142
"814.4167",814.4167,0.0619,-1.1142
"814.4444",814.4444,0.0619,-1.1142
"814.4722",814.4722,0.06015,-1.0827
"814.5",814.5,0.0583,-1.0494
"814.5278",814.5278,0.0563,-1.0134
"814.5556",814.5556,0.05405,-0.9729
"814.5833",814.5833,0.05075,-0.9135
"814.6111",814.6111,0.048175,-0.86715
"814.6389",814.6389,0.0462,-0.8316
"814.6667",814.6667,0.044325,-0.79785
"814.6944",814.6944,0.0425,-0.765
"814.7222",814.7222,0.040775,-0.73395
"814.75",814.75,0.0391,-0.7038
"814.7778",814.7778,0.0375,-0.675
"814.8056",814.8056,0.035975,-0.64755
"814.8333",814.8333,0.034525,-0.62145
"814.8611",814.8611,0.0331,-0.5958
"814.8889",814.8889,0.03175,-0.5715
"814.9167",814.9167,0.03045,-0.5481
"814.9444",814.9444,0.029225,-0.52605
"814.9722",814.9722,0.028025,-0.50445
"815",815,0.026875,-0.48375
"815.0278",815.0278,0.025775,-0.46395
"815.0556",815.0556,0.024725,-0.44505
"815.0833",815.0833,0.023725,-0.42705
"815.1111",815.1111,0.02275,-0.4095
"815.1389",815.1389,0.021825,-0.39285
"815.1667",815.1667,0.020925,-0.37665
"815.1944",815.1944,0.020075,-0.36135
"815.2222",815.2222,0.01925,-0.3465
"815.25",815.25,0.018475,-0.33255
"815.2778",815.2778,0.017725,-0.31905
"815.3056",815.3056,0.017,-0.306
"815.3333",815.3333,0.0163,-0.2934
"815.3611",815.3611,0.015625,-0.28125
"815.3889",815.3889,0.015,-0.27
"815.4167",815.4167,0.014375,-0.25875
"815.4444",815.4444,0.0138,-0.2484
"815.4722",815.4722,0.013225,-0.23805
"815.5",815.5,0.0127,-0.2286
"815.5278",815.5278,0.012175,-0.21915
"815.5556",815.5556,0.011675,-0.21015
"815.5833",815.5833,0.0112,-0.2016
"815.6111",815.6111,0.01075,-0.1935
"815.6389",815.6389,0.0103,-0.1854
"815.6667",815.6667,0.0099,-0.1782
"815.6944",815.6944,0.009475,-0.17055
"815.7222",815.7222,0.0091,-0.1638
"815.75",815.75,0.008725,-0.15705
"815.7778",815.7778,0.008375,-0.15075
"815.8056",815.8056,0.008025,-0.14445
"815.8333",815.8333,0.0077,-0.1386
"815.8611",815.8611,0.007375,-0.13275
"815.8889",815.8889,0.007075,-0.12735
"815.9167",815.9167,0.0068,-0.1224
"815.9444",815.9444,0.006525,-0.11745
"815.9722",815.9722,0.00625,-0.1125
"816",816,0.00875,-0.1575
"816.0278",816.0278,0.012975,-0.23355
"816.0556",816.0556,0.0172,-0.3096
"816.0833",816.0833,0.02145,-0.3861
"816.1111",816.1111,0.0257,-0.4626
"816.1389",816.1389,0.029975,-0.53955
"816.1667",816.1667,0.034225,-0.61605
"816.1944",816.1944,0.0385,-0.693
"816.2222",816.2222,0.0428,-0.7704
"816.25",816.25,0.0471,-0.8478
"816.2778",816.2778,0.04865,-0.8757
"816.3056",816.3056,0.048475,-0.87255
"816.3333",816.3333,0.048325,-0.86985
"816.3611",816.3611,0.048175,-0.86715
"816.3889",816.3889,0.048025,-0.86445
"816.4167",816.4167,0.0479,-0.8622
"816.4444",816.4444,0.047775,-0.85995
"816.4722",816.4722,0.045825,-0.82485
"816.5",816.5,0.04395,-0.7911
"816.5278",816.5278,0.04215,-0.7587
"816.5556",816.5556,0.040425,-0.72765
"816.5833",816.5833,0.038775,-0.69795
"816.6111",816.6111,0.0372,-0.6696
"816.6389",816.6389,0.035675,-0.64215
"816.6667",816.6667,0.034225,-0.61605
"816.6944",816.6944,0.032825,-0.59085
"816.7222",816.7222,0.0315,-0.567
"816.75",816.75,0.0302,-0.5436
"816.7778",816.7778,0.028975,-0.52155
"816.8056",816.8056,0.0278,-0.5004
"816.8333",816.8333,0.02665,-0.4797
"816.8611",816.8611,0.025575,-0.46035
"816.8889",816.8889,0.024525,-0.44145
"816.9167",816.9167,0.023525,-0.42345
"816.9444",816.9444,0.022575,-0.40635
"816.9722",816.9722,0.02165,-0.3897
"817",817,0.02075,-0.3735
"817.0278",817.0278,0.0199,-0.3582
"817.0556",817.0556,0.0191,-0.3438
"817.0833",817.0833,0.018325,-0.32985
"817.1111",817.1111,0.017575,-0.31635
"817.1389",817.1389,0.01685,-0.3033
"817.1667",817.1667,0.016175,-0.29115
"817.1944",817.1944,0.0155,-0.279
"817.2222",817.2222,0.014875,-0.26775
"817.25",817.25,0.014275,-0.25695
"817.2778",817.2778,0.013675,-0.24615
"817.3056",817.3056,0.013125,-0.23625
"817.3333",817.3333,0.0126,-0.2268
"817.3611",817.3611,0.012075,-0.21735
"817.3889",817.3889,0.011575,-0.20835
"817.4167",817.4167,0.0111,-0.1998
"817.4444",817.4444,0.01065,-0.1917
"817.4722",817.4722,0.009575,-0.17235
"817.5",817.5,0.009175,-0.16515
"817.5278",817.5278,0.0088,-0.1584
"817.5556",817.5556,0.00845,-0.1521
"817.5833",817.5833,0.0081,-0.1458
"817.6111",817.6111,0.007775,-0.13995
"817.6389",817.6389,0.00745,-0.1341
