Orbital parameters for the last 2000 years to 2100 AD (Berger, 1978)
(Slightly higher precision than the calculation in the reference)

This file is available on
	https://pmip3.lsce.ipsl.fr/wiki/doku.php/pmip3:design:lm:index

Year   = Common Era (CE or AD)
ECCEN  = eccentricity of orbital ellipse
OBLIQ  = latitude of Tropic of Cancer in degrees
PERI   = longitude of perihelion 

       = spatial angle from vernal equinox to perihelion in degrees
         with sun as angle vertex

Note that for the period 0-2100 CE, the changes in orbital parameters
are well approximated by linear regressions:

ECCEN    = 0.017475 - 0.000000382 * Year
OBLIQ    = 23.697   - 0.000128    * Year
PERI-180 = 68.79    + 0.0170      * Year

  Year    ECCEN       OBLIQ       PERI-180
   533   0.0172726   23.628784    77.86484
   534   0.0172722   23.628658    77.88183
   535   0.0172719   23.628531    77.89883
   536   0.0172715   23.628405    77.91582
   537   0.0172711   23.628279    77.93282
   538   0.0172707   23.628152    77.94981
   539   0.0172704   23.628026    77.96681
   540   0.0172700   23.627899    77.98380
   541   0.0172696   23.627773    78.00080
   542   0.0172693   23.627646    78.01779
   543   0.0172689   23.627520    78.03479
   544   0.0172685   23.627394    78.05178
   545   0.0172682   23.627267    78.06878
   546   0.0172678   23.627141    78.08577
   547   0.0172674   23.627014    78.10277
   548   0.0172670   23.626888    78.11977
   549   0.0172667   23.626761    78.13676
   550   0.0172663   23.626635    78.15376
   551   0.0172659   23.626508    78.17075
   552   0.0172656   23.626382    78.18775
   553   0.0172652   23.626255    78.20475
   554   0.0172648   23.626129    78.22174
   555   0.0172645   23.626002    78.23874
   556   0.0172641   23.625876    78.25574
   557   0.0172637   23.625749    78.27273
   558   0.0172634   23.625623    78.28973
   559   0.0172630   23.625496    78.30673
   560   0.0172626   23.625369    78.32372
   561   0.0172622   23.625243    78.34072
   562   0.0172619   23.625116    78.35772
   563   0.0172615   23.624990    78.37471
   564   0.0172611   23.624863    78.39171
   565   0.0172608   23.624737    78.40871
   566   0.0172604   23.624610    78.42571
   567   0.0172600   23.624484    78.44270
   568   0.0172597   23.624357    78.45970
   569   0.0172593   23.624230    78.47670
   570   0.0172589   23.624104    78.49370
   571   0.0172585   23.623977    78.51070
   572   0.0172582   23.623851    78.52769
   573   0.0172578   23.623724    78.54469
   574   0.0172574   23.623597    78.56169
   575   0.0172571   23.623471    78.57869
   576   0.0172567   23.623344    78.59569
   577   0.0172563   23.623218    78.61268
   578   0.0172559   23.623091    78.62968
   579   0.0172556   23.622964    78.64668
   580   0.0172552   23.622838    78.66368
   581   0.0172548   23.622711    78.68068
   582   0.0172545   23.622584    78.69768
   583   0.0172541   23.622458    78.71468
   584   0.0172537   23.622331    78.73168
   585   0.0172534   23.622204    78.74868
   586   0.0172530   23.622078    78.76568
   587   0.0172526   23.621951    78.78267
   588   0.0172522   23.621824    78.79967
   589   0.0172519   23.621698    78.81667
   590   0.0172515   23.621571    78.83367
   591   0.0172511   23.621444    78.85067
   592   0.0172508   23.621318    78.86767
   593   0.0172504   23.621191    78.88467
   594   0.0172500   23.621064    78.90167
   595   0.0172496   23.620937    78.91867
   596   0.0172493   23.620811    78.93567
   597   0.0172489   23.620684    78.95267
   598   0.0172485   23.620557    78.96967
   599   0.0172482   23.620431    78.98667
   600   0.0172478   23.620304    79.00367
   601   0.0172474   23.620177    79.02068
   602   0.0172471   23.620050    79.03768
   603   0.0172467   23.619924    79.05468
   604   0.0172463   23.619797    79.07168
   605   0.0172459   23.619670    79.08868
   606   0.0172456   23.619543    79.10568
   607   0.0172452   23.619417    79.12268
   608   0.0172448   23.619290    79.13968
   609   0.0172445   23.619163    79.15668
   610   0.0172441   23.619036    79.17369
   611   0.0172437   23.618909    79.19069
   612   0.0172433   23.618783    79.20769
   613   0.0172430   23.618656    79.22469
   614   0.0172426   23.618529    79.24169
   615   0.0172422   23.618402    79.25869
   616   0.0172419   23.618275    79.27570
   617   0.0172415   23.618149    79.29270
   618   0.0172411   23.618022    79.30970
   619   0.0172407   23.617895    79.32670
   620   0.0172404   23.617768    79.34371
   621   0.0172400   23.617641    79.36071
   622   0.0172396   23.617515    79.37771
   623   0.0172393   23.617388    79.39471
   624   0.0172389   23.617261    79.41172
   625   0.0172385   23.617134    79.42872
   626   0.0172381   23.617007    79.44572
   627   0.0172378   23.616880    79.46273
   628   0.0172374   23.616753    79.47973
   629   0.0172370   23.616627    79.49673
   630   0.0172367   23.616500    79.51374
   631   0.0172363   23.616373    79.53074
   632   0.0172359   23.616246    79.54774
   633   0.0172355   23.616119    79.56475
   634   0.0172352   23.615992    79.58175
   635   0.0172348   23.615865    79.59875
   636   0.0172344   23.615738    79.61576
   637   0.0172341   23.615611    79.63276
   638   0.0172337   23.615484    79.64977
   639   0.0172333   23.615358    79.66677
   640   0.0172329   23.615231    79.68377
   641   0.0172326   23.615104    79.70078
   642   0.0172322   23.614977    79.71778
   643   0.0172318   23.614850    79.73479
   644   0.0172314   23.614723    79.75179
